"","Country","Year","KEI Index"
"486","Greece",2007,7.29
"487","Guatemala",2007,2.83
"488","Guyana",2007,4.21
"489","Haiti",2007,NA
"490","Honduras",2007,3.15
"491","Hong Kong",2007,8.19
"492","Hungary",2007,7.64
"493","Iceland",2007,8.71
"494","India",2007,3
"495","Indonesia",2007,3.29
"496","Iran",2007,3.09
"497","Ireland",2007,8.56
"498","Israel",2007,8.16
"499","Italy",2007,7.98
"500","Jamaica",2007,5.04
"501","Japan",2007,8.46
"502","Jordan",2007,5.19
"503","Kazakhstan",2007,4.5
"504","Kenya",2007,2.73
"505","Korea",2007,7.74
"506","Kuwait",2007,6.01
"507","Kyrgyz Rep.",2007,3.63
"508","Lao PDR",2007,1.17
"509","Latvia",2007,7.37
"510","Lebanon",2007,5.03
"511","Lesotho",2007,2.23
"512","Lithuania",2007,7.49
"513","Luxembourg",2007,8.39
"514","Macedonia",2007,5.36
"515","Madgascar",2007,2.37
"516","Malawi",2007,1.25
"517","Malaysia",2007,6.23
"518","Mali",2007,1.22
"519","Malta",2007,NA
"520","Mauritius",2007,5.08
"521","Mauritania",2007,1.67
"522","Mexico",2007,5.35
"523","Nepal",2007,1.13
"524","Mongolia",2007,4.23
"525","Moldova",2007,4.64
"526","Morocco",2007,3.3
"527","Mozambique",2007,1.18
"528","Mynamar",2007,1.35
"529","Namibia",2007,3.94
"530","Netherlands",2007,9.02
"531","New Zealand",2007,8.76
"532","Nicaragua",2007,3.01
"533","Nigeria",2007,1.84
"534","Norway",2007,9.17
"535","Oman",2007,5.12
"536","Pakistan",2007,1.89
"537","Panama",2007,4.98
"538","Paraguay",2007,3.19
"539","Peru",2007,4.43
"540","Philippines",2007,4.48
"541","Poland",2007,7.24
"542","Portugal",2007,7.44
"543","Qatar",2007,6.17
"544","Romania",2007,5.86
"545","Russian Federation",2007,5.94
"546","Rwanda",2007,0.84
"547","Saudi Arabia",2007,4.76
"548","Senegal",2007,2.38
"549","Serbia",2007,4.98
"550","Sierra Leone",2007,0.62
"551","Singapore",2007,NA
"552","Slovak Republic",2007,7.22
"553","Slovenia",2007,8.16
"554","South Africa",2007,5.64
"555","Spain",2007,8.09
"556","Sri Lanka",2007,4.03
"557","Sudan",2007,1.39
"558","Swaziland",2007,2.77
"559","Sweden",2007,9.26
"560","Switzerland",2007,8.99
"561","Syrian Arab Republic",2007,2.82
"562","Taiwan",2007,8.37
"563","Tajikistan",2007,2.42
"564","Tanzania",2007,1.7
"565","Thailand",2007,5.41
"566","Trinidad and Tobago",2007,5.33
"567","Turkey",2007,5.56
"568","Tunisia",2007,4.52
"569","Uganda",2007,2.05
"570","Ukraine",2007,5.58
"571","United Arab Emirates",2007,5.78
"572","United Kingdom",2007,NA
"573","United States",2007,8.8
"574","Uruguay",2007,6.11
"575","Uzbekistan",2007,3.27
"576","Venezuela",2007,4.26
"577","Vietnam",2007,3.1
"578","Yemen",2007,1.62
"579","Zambia",2007,1.47
"580","Zimbabwe",2007,2.48
"581","Albania",2000,3.52
"582","Algeria",2000,2.85
"583","Angola",2000,NA
"584","Argentina",2000,6.56
"585","Armenia",2000,5.57
"586","Australia",2000,9.27
